match_id,puuid,name,tag,team,region,map,patch,rounds_played,game_start,rank_tier,rank_patched,agent,player_level,score,kills,deaths,assists,damage_made,damage_received,headshot_rate,headshots,bodyshots,legshots,c_cast,q_cast,e_cast,x_cast,economy_spent_overall,economy_spent_avg,loadout_value_overall,loadout_value_avg,afk_rounds,rounds_in_spawn,ff_outgoing,ff_incoming,team_won
c119e2b8-2386-4744-83d8-1243c2eddff1,7a92bd69-2891-59e4-aa78-71afa94cf728,umbrix,NIGHT,Blue,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,23,Ascendant 3,Chamber,205,2793,11,15,2,1818,2892,0.2105,4,15,0,21,5,7,2,49800,2490.0,79600,3980.0,0.0,0.0,0.0,0.0,True
c119e2b8-2386-4744-83d8-1243c2eddff1,fdd87296-e4ea-589f-a481-682f56533f87,검은침묵,라오루,Blue,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,24,Immortal 1,Clove,573,4062,15,16,7,2472,2956,0.1915,9,35,3,4,3,42,3,49250,2462.5,78150,3907.5,0.0,0.0,0.0,0.0,True
c119e2b8-2386-4744-83d8-1243c2eddff1,c41ffc70-7306-54be-bc0b-ee446bf1a085,힘을숨기는건이제그만하려고합니다,The,Blue,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,24,Immortal 1,Reyna,90,8162,29,12,1,5033,2599,0.3793,22,35,1,6,7,3,0,47950,2397.5,83000,4150.0,0.0,0.0,0.0,0.0,True
c119e2b8-2386-4744-83d8-1243c2eddff1,0373f35f-c52d-5836-8df0-d417d6b47305,ˇ一ˇ,llll,Red,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,24,Immortal 1,Clove,190,3275,10,16,6,2169,2997,0.3548,11,19,1,3,5,36,1,48600,2430.0,65850,3292.5,0.0,0.0,0.0,0.0,False
c119e2b8-2386-4744-83d8-1243c2eddff1,bb9cd4af-6132-59ae-a004-09745b211188,신은존재하고4월3일에돌아왔다,0403,Blue,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,25,Immortal 2,Tejo,441,4839,14,16,10,3553,2808,0.254,16,45,2,11,4,27,3,56700,2835.0,79000,3950.0,0.0,0.0,0.0,0.0,True
c119e2b8-2386-4744-83d8-1243c2eddff1,cb00d0ba-d5a2-54c0-a496-ee745f8e3b7a,JINSUB,1111,Blue,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,24,Immortal 1,Neon,593,3349,12,14,4,2484,2922,0.3611,13,22,1,6,8,20,1,48600,2430.0,68500,3425.0,0.0,0.0,0.0,0.0,True
c119e2b8-2386-4744-83d8-1243c2eddff1,42094677-00b9-5021-9a5c-7dc20ac1d70b,만번 꺾인 마음,1234,Red,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,23,Ascendant 3,Chamber,250,5100,18,16,1,3576,2831,0.4359,17,21,1,3,5,3,2,39100,1955.0,72600,3630.0,0.0,0.0,0.0,0.0,False
c119e2b8-2386-4744-83d8-1243c2eddff1,d3bf5e27-37b3-56e9-bbd7-1f976151608c,Unabandonedlove,0690,Red,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,24,Immortal 1,Breach,47,2219,8,15,5,1623,2869,0.3478,8,15,0,4,11,14,1,57650,2882.5,65750,3287.5,0.0,0.0,0.0,0.0,False
c119e2b8-2386-4744-83d8-1243c2eddff1,f3b46dfe-df5f-584b-a972-b53ddb166773,행복이,안행복,Red,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,25,Immortal 2,Jett,715,6858,23,16,4,4393,3099,0.2364,13,42,0,10,3,20,3,46500,2325.0,73800,3690.0,0.0,0.0,0.0,0.0,False
c119e2b8-2386-4744-83d8-1243c2eddff1,e471f170-6f7d-53c9-b739-e06f902e9049,user10163247838,233ck,Red,kr,Fracture,release-12.05-shipping-22-4360629,20,1774275331,25,Immortal 2,Reyna,77,4100,14,18,0,2416,3564,0.3448,10,19,0,19,6,6,3,56500,2825.0,70550,3527.5,0.0,0.0,0.0,0.0,False
b324cb00-94d0-4a78-b1ad-89109bfbbac7,3e6e9b23-625c-529d-8d99-69d73a1cb1a5,이세계최고의등반모험가그의이름은,엄땡땡,Blue,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,23,Ascendant 3,Veto,580,3757,11,17,0,2802,3047,0.4242,14,15,4,26,25,11,1,53600,2552.3809,59700,2842.8572,0.0,0.0,0.0,0.0,False
b324cb00-94d0-4a78-b1ad-89109bfbbac7,a33b0327-061c-5f37-b806-94f4dc2c0d6b,Tapper,1ST,Blue,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Iso,218,6015,20,18,5,3885,3160,0.2593,14,36,4,1,7,16,4,58300,2776.1904,69500,3309.524,0.0,0.0,0.0,0.0,False
b324cb00-94d0-4a78-b1ad-89109bfbbac7,ab880d6a-c7c5-5c0d-a69d-ec05ae7135a0,ALL LINE GOD,KR1,Red,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,0,Unrated,Chamber,381,3446,13,12,1,2397,2126,0.1667,6,29,1,20,7,13,2,41600,1980.9524,77850,3707.1428,0.0,0.0,0.0,0.0,True
b324cb00-94d0-4a78-b1ad-89109bfbbac7,5c90d20d-1b53-5cb0-ae45-49c07128f630,비전동 젤리주먹,얍 삐,Red,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Deadlock,223,4514,16,18,1,2855,3375,0.2,8,26,6,11,32,14,4,60950,2902.3809,65900,3138.0952,0.0,0.0,0.0,0.0,True
b324cb00-94d0-4a78-b1ad-89109bfbbac7,460112bc-abc9-517e-bcdf-0200965473b2,Asa Mitaka,2211,Blue,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Fade,295,3374,14,14,7,2393,2656,0.3824,13,19,2,26,13,22,3,49550,2359.524,70600,3361.9048,0.0,0.0,0.0,0.0,False
b324cb00-94d0-4a78-b1ad-89109bfbbac7,46f28edc-a2c2-5434-9267-ff6c6d543242,CHI,llguy,Blue,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Omen,176,2857,10,15,9,1762,2744,0.3846,10,16,0,11,13,41,1,56150,2673.8096,70950,3378.5715,0.0,0.0,0.0,0.0,False
b324cb00-94d0-4a78-b1ad-89109bfbbac7,b2c331e8-ba09-5f0c-8753-dfe0d0905470,김라봉,라봉봉,Blue,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Neon,239,5556,18,18,4,3623,3363,0.1739,20,83,12,10,14,21,1,51000,2428.5715,69350,3302.3809,0.0,0.0,0.0,0.0,False
b324cb00-94d0-4a78-b1ad-89109bfbbac7,70a7e29b-6690-55c9-b29c-a8fd5282eccc,주1회접속,똥똥똥,Red,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Clove,163,5958,23,13,1,3841,2656,0.2222,14,43,6,9,1,52,3,44000,2095.238,81950,3902.3809,0.0,0.0,0.0,0.0,True
b324cb00-94d0-4a78-b1ad-89109bfbbac7,53aa467c-aaa2-5bd5-ae0d-553e697fe070,찬 비,lIllI,Red,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,22,Ascendant 2,Raze,272,4942,17,14,4,3375,3048,0.1912,13,42,13,14,25,18,2,59600,2838.0952,81100,3861.9048,0.0,0.0,0.0,0.0,True
b324cb00-94d0-4a78-b1ad-89109bfbbac7,b9989240-b3c2-5cc4-b5b7-c25a0f265ec0,달리기,곽형주,Red,kr,Lotus,release-12.05-shipping-22-4360629,21,1773941988,21,Ascendant 1,Fade,291,4160,13,18,6,2752,3510,0.2927,12,28,1,12,6,21,2,63250,3011.9048,79450,3783.3333,0.0,0.0,0.0,0.0,True
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,6692d8ca-dd4e-5606-aedb-00b3b56bb3ed,RW varieety,1999,Blue,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,26,Immortal 3,Jett,206,5142,20,12,0,3142,1804,0.5484,17,10,4,2,1,20,2,35000,2187.5,46200,2887.5,0.0,0.0,0.0,0.0,False
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,49b5f1b3-477e-5643-a4e8-9c7e26a372ed,Sazy,rfr,Blue,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,26,Immortal 3,Clove,36,3925,13,15,3,2293,3014,0.4815,13,10,4,3,1,43,2,44550,2784.375,57950,3621.875,0.0,0.0,0.0,0.0,False
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,6bd1e39b-73f1-50a7-9f84-79d1cf21524b,dok,5ive,Red,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,26,Immortal 3,Waylay,828,4447,17,12,8,2873,2368,0.3171,13,24,4,9,12,19,2,46600,2912.5,53900,3368.75,0.0,0.0,0.0,0.0,True
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,680ddcff-4ca9-5116-8971-0a35b4523e72,yelpe,666,Red,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,27,Radiant,Fade,706,2426,8,10,8,1882,1849,0.3,9,20,1,17,8,22,1,32900,2056.25,56300,3518.75,0.0,0.0,0.0,0.0,True
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,9a635974-a8b9-5852-bfd3-49686e2f2653,21 jenz,new,Red,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,26,Immortal 3,Reyna,177,2229,8,13,6,1279,2366,0.5,7,7,0,12,5,1,1,54250,3390.625,61400,3837.5,0.0,0.0,0.0,0.0,True
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,6ac11270-7cb5-5607-8179-77d891e068ce,madnes,1283,Blue,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,26,Immortal 3,Yoru,632,1975,6,13,4,1328,2104,0.3077,4,8,1,1,2,19,1,37350,2334.375,50100,3131.25,0.0,0.0,0.0,0.0,False
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,225d3b01-aa07-5f52-826a-808c641587f9,notnewtodislyfe,adl,Blue,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,25,Immortal 2,Fade,75,2742,8,12,7,1763,2139,0.24,6,19,0,11,9,12,1,26900,1681.25,34900,2181.25,0.6,0.1,0.0,0.0,False
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,d4e74d62-fe3e-59f6-a12f-9ac79a4f20d5,Madison1337,boom,Blue,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,27,Radiant,Viper,146,1979,5,14,1,1550,2458,0.2609,6,15,2,4,3,14,0,38350,2396.875,50850,3178.125,0.0,0.0,0.0,0.0,False
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,2046a329-6b7b-5701-af2c-e201859d5561,AXL RickyVaila,Vaila,Red,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,26,Immortal 3,Chamber,445,3868,16,8,1,2607,1653,0.3043,7,14,2,12,2,11,1,35350,2209.375,60000,3750.0,0.0,0.0,0.0,0.0,True
23f42ae5-f20f-4af3-82f4-9c3c1d3945f9,d2cdc0db-3986-56e8-bd6e-60bdb58c6cbe,LayRow,EUWM,Red,eu,Corrode,release-12.04-shipping-24-4354757,16,1773692360,25,Immortal 2,Clove,399,4677,17,10,5,2952,1914,0.5769,15,10,1,3,4,50,1,35050,2190.625,58850,3678.125,0.0,0.0,0.0,0.0,True
72f20b74-b625-40b2-8af2-fbf431b1b410,7169f082-bbe5-5e5c-8d1b-59500ed5e004,WOOFMASTER67,0012,Blue,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,25,Immortal 2,Jett,495,2162,7,13,1,1672,2297,0.381,8,11,2,9,4,17,1,29000,1812.5,47650,2978.125,0.0,0.0,0.0,0.0,False
72f20b74-b625-40b2-8af2-fbf431b1b410,e70a5bbf-82c8-5579-bc27-47fdcbfc7607,FlaN,mlem,Red,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,24,Immortal 1,Fade,645,4008,14,6,9,2505,1263,0.1724,10,41,7,22,14,15,3,38000,2375.0,57700,3606.25,0.0,0.0,0.0,0.0,True
72f20b74-b625-40b2-8af2-fbf431b1b410,a94a8551-df2a-5f89-902d-d431d3e9b04a,Kirazin,Moon,Red,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,24,Immortal 1,Jett,503,2908,10,13,1,1976,2401,0.2857,8,15,5,9,7,17,1,40650,2540.625,54900,3431.25,0.0,0.0,0.0,0.0,True
72f20b74-b625-40b2-8af2-fbf431b1b410,ed6bcbea-0814-5a25-aff6-7d02afe689dd,TaZeD,14220,Blue,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,25,Immortal 2,Fade,673,2009,5,14,2,1391,2168,0.0833,3,30,3,20,10,20,1,36050,2253.125,45700,2856.25,0.0,0.0,0.0,0.0,False
72f20b74-b625-40b2-8af2-fbf431b1b410,0244dd3a-32ea-5ae8-8f94-4bc310f33d6d,ASHEN1,Ex33,Blue,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,25,Immortal 2,Clove,680,2686,9,15,6,1625,2399,0.3333,9,18,0,4,5,48,1,42000,2625.0,51300,3206.25,0.0,0.0,0.0,0.0,False
72f20b74-b625-40b2-8af2-fbf431b1b410,65cd413c-a573-52a6-bd83-8c87634b769e,ACAね,北国战犯,Blue,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,24,Immortal 1,Waylay,496,929,3,15,0,591,2447,0.0625,1,14,1,9,5,13,1,35100,2193.75,43200,2700.0,0.0,0.0,0.0,0.0,False
72f20b74-b625-40b2-8af2-fbf431b1b410,1b9256a8-301e-5b58-8d0d-7c943d6f45f8,24 pard0N,Akame,Red,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,24,Immortal 1,Miks,510,4341,16,9,10,2394,1987,0.2051,8,30,1,17,9,35,1,40350,2521.875,67850,4240.625,0.0,0.0,0.0,0.0,True
72f20b74-b625-40b2-8af2-fbf431b1b410,65bca1bd-36fd-5601-8e74-bd2444492bf1,the notorious,TTV,Red,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,24,Immortal 1,Killjoy,295,3435,14,4,3,2062,992,0.1471,5,28,1,22,14,7,1,34350,2146.875,54650,3415.625,0.0,0.0,0.0,0.0,True
72f20b74-b625-40b2-8af2-fbf431b1b410,b9b468d7-c134-57f3-8cd9-6eeec899e820,Rfissa Zwina,RIFI,Red,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,24,Immortal 1,Waylay,404,4060,16,7,8,2487,1699,0.2973,11,23,3,11,10,19,2,39250,2453.125,68750,4296.875,0.0,0.0,0.0,0.0,True
72f20b74-b625-40b2-8af2-fbf431b1b410,fbf67e46-a154-5888-a48b-5ec19b923a5e,LowOne,EUW,Blue,eu,Pearl,release-12.05-shipping-22-4360629,16,1774100055,0,Unrated,Vyse,206,4505,15,14,1,3114,2164,0.2642,14,36,3,27,15,4,2,39400,2462.5,42100,2631.25,0.0,0.0,0.0,0.0,False
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,ca4c0875-18cc-5caa-b45f-b717f8b96d7f,Davila,DAV1,Blue,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,24,Immortal 1,Chamber,650,6131,22,14,4,3650,2821,0.2121,7,26,0,25,13,17,3,58200,2530.4348,103600,4504.3477,0.0,0.0,0.0,0.0,True
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,532cafd3-d930-5ef8-9166-b091e0a392de,lovers regret,TLP,Blue,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,23,Ascendant 3,Miks,562,4204,15,20,16,2837,3767,0.359,14,20,5,19,3,50,3,66150,2876.087,84800,3686.9565,0.0,0.0,0.0,0.0,True
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,69f6f7d8-433d-51c4-bcb4-5bccacc66c03,Tokit0,ltz,Blue,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,24,Immortal 1,Jett,489,5727,17,18,8,3791,3437,0.3077,16,35,1,26,9,26,4,58450,2541.3044,78600,3417.3914,0.0,0.0,0.0,0.0,True
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,1fb9e2bc-31f6-5994-9cd0-444c006a7b46,I miss Her,Ended,Red,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,24,Immortal 1,Viper,563,4829,18,18,5,3564,3620,0.3125,15,33,0,9,14,23,3,55750,2423.913,77750,3380.4348,0.0,0.0,0.0,0.0,False
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,07b995fb-18e0-5ce4-9f10-fd56ba4770ad,LFH Leyton,404,Red,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,22,Ascendant 2,Waylay,357,2499,8,19,3,1811,3407,0.2963,8,19,0,7,18,21,2,58050,2523.913,78850,3428.261,0.0,0.0,0.0,0.0,False
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,03465f8d-c1b1-535b-8d45-6e46ce6a7195,Drafty,1114,Blue,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,25,Immortal 2,Viper,509,6506,24,12,2,4504,2185,0.1867,14,54,7,12,15,23,2,51900,2256.5217,84100,3656.5217,0.0,0.0,0.0,0.0,True
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,ff09e155-3f74-567c-9648-eb1742831082,Guma,lmsd,Blue,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,22,Ascendant 2,Sova,343,2550,9,15,5,1924,3129,0.3913,9,14,0,13,10,22,2,54750,2380.4348,83900,3647.8262,0.0,0.0,0.0,0.0,True
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,580573b8-702d-5082-9e88-f2f14f81a55c,TuAbuelaConWiFi,SLEEP,Red,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,23,Ascendant 3,Sova,403,3787,12,16,8,2777,3085,0.2222,10,26,9,16,23,24,2,57250,2489.1304,81650,3550.0,0.0,0.0,0.0,0.0,False
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,67b2267a-1f93-5dc1-8dde-e1543cc7f5c9,NoyZ,SZNR,Red,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,21,Ascendant 1,Chamber,323,5644,20,18,2,3670,3620,0.4545,15,17,1,23,9,10,2,63550,2763.0435,82350,3580.4348,0.0,0.0,0.0,0.0,False
e3b49915-e9f5-47b3-b3c6-1e7eb8ad3947,eee33d55-f0d8-56c5-9319-edfa6a8735e6,TC Chochito,zzzzz,Red,na,Breeze,release-12.05-shipping-22-4360629,23,1774241977,25,Immortal 2,Jett,376,5914,21,16,3,3539,2996,0.3409,15,29,0,18,2,27,3,50950,2215.2173,81900,3560.8696,0.0,0.0,0.0,0.0,False
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,ab3bc116-c1d7-58bb-948a-1609b099b4a6,1joaquln,666,Red,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,24,Immortal 1,Jett,325,7145,25,17,6,4479,3000,0.3571,20,36,0,15,6,25,4,61500,2673.913,89550,3893.4783,0.0,0.0,0.0,0.0,True
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,d989c9e7-b751-5781-b1f0-94bfdf57c8a7,伊 阿艾马,HIM,Blue,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,24,Immortal 1,Neon,178,4981,18,19,3,3322,3800,0.3725,19,32,0,5,17,23,2,58400,2539.1304,75200,3269.5652,0.0,0.0,0.0,0.0,False
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,0814f630-38ba-5d4e-ba5c-facc7ed37f50,Bryan Rabello,UZzle,Blue,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,23,Ascendant 3,Skye,232,2251,6,19,6,1711,3417,0.2,6,20,4,3,14,26,2,58050,2523.913,83300,3621.739,0.0,0.0,0.0,0.0,False
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,32bc6642-24eb-582f-be12-433e246d4ec4,Maxi Proyectil,4765,Red,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,25,Immortal 2,Phoenix,718,3636,12,16,3,2416,3977,0.3571,10,18,0,6,20,11,5,57100,2482.6086,89050,3871.739,0.0,0.0,0.0,0.0,True
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,737a0d9a-e8b3-586e-8a3b-e8ca09835101,amaterasu,hide,Red,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,23,Ascendant 3,Clove,389,7992,27,16,10,5269,3642,0.2317,19,54,9,12,8,53,4,52600,2286.9565,90250,3923.913,0.0,0.0,0.0,0.0,True
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,80fd3e51-14ce-54c3-814f-c41668e8d1c7,JONATHAN7,2745,Red,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,24,Immortal 1,Sova,276,3705,12,15,8,2629,3051,0.2162,8,25,4,13,17,23,2,60400,2626.087,79000,3434.7827,0.0,0.0,0.0,0.0,True
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,6b527119-72d6-569b-9720-188c55a7da07,juan,peru,Blue,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,24,Immortal 1,Clove,502,4762,14,24,10,3312,4214,0.2273,15,46,5,9,11,60,3,67100,2917.3914,81250,3532.6086,0.0,0.0,0.0,0.0,False
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,d9415857-a80b-5ec7-9718-418a7c6f4147,teiiikiˇ,dieˇ,Blue,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,24,Immortal 1,Killjoy,367,3939,13,16,4,3157,3040,0.375,18,28,2,18,13,8,1,51150,2223.913,73450,3193.4783,0.0,0.0,0.0,0.0,False
5ec3e6d5-6080-4d81-bc07-8f8a90ce9fe6,58f87cde-137c-5af8-898c-a3cefe2be618,Kawa,sss,Blue,na,Haven,release-12.05-shipping-22-4360629,23,1774149181,24,Immortal 1,Phoenix,359,7327,25,16,3,4575,3162,0.5,25,25,0,6,6,36,5,51300,2230.4348,84950,3693.4783,0.0,0.0,0.0,0.0,False
